ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
CAMPINAS,2023-08-16 13:28:12,2023-08-16 13:30:51,26,26,0,0,0,0,0,,,,7.0,3,1.0,,,3,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CAMPINAS,2023-08-23 19:49:11,2023-08-24 14:15:59,19,18,0,0,0,0,1,49.0,49.0,,1.0,2,28.0,,,2,0,2,0,31,39,1,0,0,1.0,,,1,62,1.0,0,,
CIDADE NAO INFORMADA,2023-08-28 01:52:06,2023-08-28 01:53:20,15,15,0,0,0,0,0,,,,0.0,1,13.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CIDADE NAO INFORMADA,2023-08-30 20:40:19,2023-09-11 22:16:31,12,0,0,0,0,0,2,131278.5,131278.5,,12.0,3,9.0769,,,3,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,,
CAMPINAS,2023-09-05 22:42:49,2023-09-05 22:57:33,6,6,0,0,0,0,0,,,,0.0,1,31.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CIDADE NAO INFORMADA,2023-08-30 23:54:06,2023-08-30 23:56:29,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CAMPINAS,2023-09-05 22:42:49,2023-09-05 22:57:33,6,6,0,0,0,0,0,,,,0.0,1,31.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CURITIBA,2022-10-14 17:38:59,2022-12-19 21:46:10,332,266,0,1,0,0,4,64.0,,,66.0,13,6.3731,19.403,32.8462,13,3,4,13,67,18,4,0,0,0.0,,,1,2,0.0,0,,
BLUMENAU,2023-02-03 15:00:49,2023-08-30 22:15:37,220,12,0,12,0,0,0,,,,208.0,3,0.1866,,,3,0,0,0,0,0,0,0,0,,,,0,90,,0,,
CIDADE NAO INFORMADA,2023-08-31 12:47:48,2023-08-31 12:47:48,11,11,0,0,0,0,0,,,,0.0,1,4.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
